Rank	Title	type	minimizedAffinity	molecularweight
168	71498716	unactive	-8.0428	313.265
169	103211260	active	-8.03666	529.393
170	75419838	unactive	-8.03629	269.191
171	86094119	unactive	-8.03177	266.21
172	104234226	active	-8.00217	559.396
173	123096987	active	-7.9761	296.219
174	73256425	unactive	-7.96393	346.255
175	71134393	unactive	-7.96285	409.245
176	00064042	unactive	-7.95538	302.648
177	103211454	active	-7.94776	491.365
178	103567686	active	-7.92055	300.253
179	04305585	unactive	-7.91635	384.363
180	75894440	unactive	-7.91401	305.165
181	65375610	unactive	-7.91151	332.228
182	67680699	unactive	-7.89319	348.271
183	86507765	unactive	-7.8896	276.226
184	131283182	active	-7.86865	284.275
185	48567140	unactive	-7.85055	285.213
186	76779263	unactive	-7.83807	280.217
187	29777237	unactive	-7.83535	360.324
188	70404298	unactive	-7.81638	216.174
189	72054122	unactive	-7.79766	343.273
190	47716516	unactive	-7.79456	320.261
191	78799994	unactive	-7.78417	347.329
192	00685660	unactive	-7.77165	350.146
193	75125399	unactive	-7.76632	298.212
194	06606875	unactive	-7.75668	370.319
195	82411923	unactive	-7.74609	283.194
196	23189769	unactive	-7.73324	303.252
197	71906747	unactive	-7.72909	396.378
198	03276393	unactive	-7.72391	300.249
199	70523812	unactive	-7.71611	339.077
200	72147362	unactive	-7.71356	265.634
201	70948092	unactive	-7.71091	265.202
202	82823106	unactive	-7.70396	290.256
203	80430495	unactive	-7.70105	250.616
204	45301637	unactive	-7.69829	306.208
205	174525699	active	-7.69477	445.341
206	76253620	unactive	-7.69437	338.705
207	00988354	unactive	-7.69234	301.157
208	70444315	unactive	-7.68219	289.656
209	07088387	unactive	-7.68056	363.287
210	70355927	unactive	-7.68029	300.677
211	08348810	unactive	-7.66173	338.296
212	70167744	unactive	-7.65958	279.634
213	78187371	unactive	-7.63824	276.205
214	70729947	unactive	-7.63735	230.155
215	69775698	unactive	-7.62513	282.637
216	87836485	unactive	-7.62027	327.136
217	70111427	unactive	-7.61012	279.273
218	02796227	unactive	-7.60586	319.092
219	70155069	unactive	-7.58483	287.249
220	75765461	unactive	-7.57219	309.299
221	66739965	unactive	-7.54114	323.241
222	70195402	unactive	-7.53549	217.182
223	73089426	unactive	-7.51459	330.236
224	123095349	active	-7.50217	324.229
225	71790351	unactive	-7.49901	266.145
226	35120011	unactive	-7.48927	345.715
227	66982479	unactive	-7.43649	299.215
228	85462316	unactive	-7.43161	319.058
229	79881408	unactive	-7.42897	286.109
230	66215917	unactive	-7.3508	266.21
231	07800766	unactive	-7.31421	261.235
232	06678583	unactive	-7.30558	333.278
233	72426115	unactive	-7.2695	333.324
234	70089871	unactive	-7.22995	250.298
235	68094254	unactive	-7.20574	308.227
236	79348041	unactive	-7.1585	273.63
237	103466521	active	-7.15063	462.347
238	69770347	unactive	-7.12793	281.201
239	10399676	unactive	-7.08574	293.201
240	71467464	unactive	-7.02066	287.2
241	70138440	unactive	-7.01432	333.501
242	71213319	unactive	-6.98669	307.275
243	04877584	unactive	-6.9292	267.261
244	72190422	unactive	-6.89983	254.042
245	71811102	unactive	-6.80285	285.609
246	25644075	unactive	-6.71735	274.059
247	78833780	unactive	-6.70046	255.154
248	71050896	unactive	-6.6575	267.091
249	71745729	unactive	-6.50494	276.067
250	47581862	unactive	-6.4673	273.179
251	00205726	unactive	-6.15189	308.291
252	87624848	unactive	-6.12981	287.517
253	71744531	unactive	-5.82204	273.108
